,strategy,ticker,time window,commission,market,pause window (days),yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
2745,MovingAverageCrossOver,L,2000-01-01/2010-01-01,0.3,XLF,0,15.517777777777777,14.873333333333335,0.6444444444444422
2746,MovingAverageCrossOver,LOW,2000-01-01/2010-01-01,0.3,XLY,0,-9.461111111111112,8.06,-17.52111111111111
2747,MovingAverageCrossOver,MTB,2000-01-01/2010-01-01,0.3,XLF,0,0.8211111111111116,4.206666666666667,-3.3855555555555554
2748,MovingAverageCrossOver,MRO,2000-01-01/2010-01-01,0.3,XLE,0,0.8311111111111111,13.70111111111111,-12.87
2749,MovingAverageCrossOver,MKTX,2000-01-01/2010-01-01,0.3,XLF,0,-14.02,-5.582,-8.437999999999999
2750,MovingAverageCrossOver,MAR,2000-01-01/2010-01-01,0.3,XLY,0,-3.25,4.96,-8.21
2751,MovingAverageCrossOver,MMC,2000-01-01/2010-01-01,0.3,XLF,0,-11.746666666666666,-9.323333333333332,-2.423333333333334
2752,MovingAverageCrossOver,MLM,2000-01-01/2010-01-01,0.3,XLB,0,8.193333333333335,11.294444444444444,-3.101111111111109
2753,MovingAverageCrossOver,MAS,2000-01-01/2010-01-01,0.3,XLI,0,-5.794444444444444,-4.0088888888888885,-1.7855555555555558
2754,MovingAverageCrossOver,MA,2000-01-01/2010-01-01,0.3,XLF,0,59.53,50.49999999999999,9.030000000000008
2755,MovingAverageCrossOver,MTCH,2000-01-01/2010-01-01,0.3,XLC,0,-0.45777777777777817,-0.29666666666666675,-0.16111111111111143
2756,MovingAverageCrossOver,MKC,2000-01-01/2010-01-01,0.3,XLP,0,2.155555555555555,9.378888888888888,-7.223333333333333
2757,MovingAverageCrossOver,MCD,2000-01-01/2010-01-01,0.3,XLY,0,4.722222222222223,8.102222222222224,-3.380000000000001
2758,MovingAverageCrossOver,MCK,2000-01-01/2010-01-01,0.3,XLV,0,4.332222222222221,9.626666666666669,-5.294444444444448
2759,MovingAverageCrossOver,MDT,2000-01-01/2010-01-01,0.3,XLV,0,-7.319999999999999,-3.586666666666667,-3.7333333333333325
2760,MovingAverageCrossOver,MRK,2000-01-01/2010-01-01,0.3,XLV,0,-3.5011111111111104,-7.445555555555554,3.9444444444444438
2761,MovingAverageCrossOver,MET,2000-01-01/2010-01-01,0.3,XLF,0,-0.4811111111111117,5.921111111111111,-6.402222222222223
2762,MovingAverageCrossOver,MTD,2000-01-01/2010-01-01,0.3,XLV,0,3.2188888888888894,9.283333333333335,-6.064444444444446
2763,MovingAverageCrossOver,MGM,2000-01-01/2010-01-01,0.3,XLY,0,5.224444444444445,10.015555555555558,-4.791111111111113
2764,MovingAverageCrossOver,MCHP,2000-01-01/2010-01-01,0.3,XLK,0,-6.278888888888888,0.98,-7.2588888888888885
