,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%),yearly return differential (%)
111,MovingAverageCrossOver,CSCO,2010-01-01/2023-01-01,0.3,XLK,1.8833333333333335,7.655833333333334,-5.7725
112,MovingAverageCrossOver,C,2010-01-01/2023-01-01,0.3,XLF,3.8416666666666663,4.52,-0.6783333333333332
113,MovingAverageCrossOver,CFG,2010-01-01/2023-01-01,0.3,XLF,0.2062500000000007,10.521250000000002,-10.315000000000001
114,MovingAverageCrossOver,CLX,2010-01-01/2023-01-01,0.3,XLP,1.4500000000000002,7.889999999999998,-6.439999999999998
115,MovingAverageCrossOver,CME,2010-01-01/2023-01-01,0.3,XLF,0.5241666666666666,11.70083333333333,-11.176666666666664
116,MovingAverageCrossOver,CMS,2010-01-01/2023-01-01,0.3,XLU,2.0066666666666664,12.313333333333334,-10.306666666666668
117,MovingAverageCrossOver,KO,2010-01-01/2023-01-01,0.3,XLP,0.5775,6.866666666666667,-6.2891666666666675
118,MovingAverageCrossOver,CTSH,2010-01-01/2023-01-01,0.3,XLK,0.6749999999999998,9.16,-8.485
119,MovingAverageCrossOver,CL,2010-01-01/2023-01-01,0.3,XLP,1.27,5.939166666666666,-4.669166666666666
120,MovingAverageCrossOver,CMCSA,2010-01-01/2023-01-01,0.3,XLC,7.6875,14.63,-6.942500000000001
121,MovingAverageCrossOver,CMA,2010-01-01/2023-01-01,0.3,XLF,5.870000000000001,10.785833333333334,-4.9158333333333335
122,MovingAverageCrossOver,CAG,2010-01-01/2023-01-01,0.3,XLP,-1.1241666666666665,6.454166666666667,-7.578333333333333
123,MovingAverageCrossOver,COP,2010-01-01/2023-01-01,0.3,XLE,10.44,11.910000000000002,-1.4700000000000024
124,MovingAverageCrossOver,ED,2010-01-01/2023-01-01,0.3,XLU,-0.994166666666667,6.404166666666666,-7.3983333333333325
125,MovingAverageCrossOver,STZ,2010-01-01/2023-01-01,0.3,XLP,12.681666666666665,27.177499999999995,-14.49583333333333
126,MovingAverageCrossOver,COO,2010-01-01/2023-01-01,0.3,XLV,13.427500000000002,20.460833333333333,-7.033333333333331
127,MovingAverageCrossOver,CPRT,2010-01-01/2023-01-01,0.3,XLI,11.459999999999999,25.665000000000003,-14.205000000000004
128,MovingAverageCrossOver,GLW,2010-01-01/2023-01-01,0.3,XLK,3.628333333333334,7.4025,-3.774166666666666
129,MovingAverageCrossOver,CTVA,2010-01-01/2023-01-01,0.3,XLB,13.003333333333332,29.23,-16.226666666666667
130,MovingAverageCrossOver,CSGP,2010-01-01/2023-01-01,0.3,XLRE,19.239166666666666,27.86499999999999,-8.625833333333325
131,MovingAverageCrossOver,COST,2010-01-01/2023-01-01,0.3,XLP,10.889166666666666,19.694166666666664,-8.804999999999998
132,MovingAverageCrossOver,CTRA,2010-01-01/2023-01-01,0.3,XLE,8.219999999999997,14.286666666666667,-6.06666666666667
133,MovingAverageCrossOver,CCI,2010-01-01/2023-01-01,0.3,XLRE,2.5974999999999997,13.27833333333333,-10.68083333333333
134,MovingAverageCrossOver,CSX,2010-01-01/2023-01-01,0.3,XLI,0.43,17.145,-16.715
135,MovingAverageCrossOver,CMI,2010-01-01/2023-01-01,0.3,XLI,3.7500000000000013,10.423333333333332,-6.67333333333333
136,MovingAverageCrossOver,CVS,2010-01-01/2023-01-01,0.3,XLV,8.585,11.333333333333334,-2.748333333333333
137,MovingAverageCrossOver,DHI,2010-01-01/2023-01-01,0.3,XLY,2.0324999999999998,18.680833333333336,-16.648333333333337
138,MovingAverageCrossOver,DHR,2010-01-01/2023-01-01,0.3,XLV,6.4866666666666655,20.645,-14.158333333333335
139,MovingAverageCrossOver,DRI,2010-01-01/2023-01-01,0.3,XLY,5.051666666666667,12.505833333333333,-7.454166666666667
140,MovingAverageCrossOver,DVA,2010-01-01/2023-01-01,0.3,XLV,6.322500000000001,11.145000000000003,-4.8225000000000025
141,MovingAverageCrossOver,DE,2010-01-01/2023-01-01,0.3,XLI,11.284166666666666,17.963333333333335,-6.679166666666669
142,MovingAverageCrossOver,DAL,2010-01-01/2023-01-01,0.3,XLI,11.6875,14.981666666666664,-3.294166666666664
