,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
68,MovingAverageCrossOver,TECH,2010-01-01/2023-01-01,0.3,S&P 500,7.958333333333333,17.895
69,MovingAverageCrossOver,BIIB,2010-01-01/2023-01-01,0.3,XLV,13.8825,15.991666666666665
70,MovingAverageCrossOver,BLK,2010-01-01/2023-01-01,0.3,XLF,8.396666666666667,13.464166666666666
71,MovingAverageCrossOver,BK,2010-01-01/2023-01-01,0.3,XLF,3.7199999999999993,5.879166666666667
72,MovingAverageCrossOver,BA,2010-01-01/2023-01-01,0.3,XLI,10.405833333333334,12.500833333333333
73,MovingAverageCrossOver,BKNG,2010-01-01/2023-01-01,0.3,XLY,11.488333333333332,20.4725
74,MovingAverageCrossOver,BWA,2010-01-01/2023-01-01,0.3,S&P 500,4.583333333333333,7.6674999999999995
75,MovingAverageCrossOver,BXP,2010-01-01/2023-01-01,0.3,XLRE,-3.975,2.5175
76,MovingAverageCrossOver,BSX,2010-01-01/2023-01-01,0.3,XLV,7.9775,18.316666666666666
77,MovingAverageCrossOver,BMY,2010-01-01/2023-01-01,0.3,XLV,3.4625,9.905833333333334
78,MovingAverageCrossOver,AVGO,2010-01-01/2023-01-01,0.3,XLK,21.895833333333332,33.526666666666664
79,MovingAverageCrossOver,BR,2010-01-01/2023-01-01,0.3,S&P 500,12.951666666666668,18.75
80,MovingAverageCrossOver,BRO,2010-01-01/2023-01-01,0.3,S&P 500,11.368333333333334,16.909166666666668
81,MovingAverageCrossOver,BF.B,2010-01-01/2023-01-01,0.3,S&P 500,none,none
82,MovingAverageCrossOver,BG,2010-01-01/2023-01-01,0.3,S&P 500,3.345833333333333,7.110833333333335
83,MovingAverageCrossOver,CHRW,2010-01-01/2023-01-01,0.3,S&P 500,-0.9766666666666669,4.609166666666668
84,MovingAverageCrossOver,CDNS,2010-01-01/2023-01-01,0.3,S&P 500,17.176666666666666,30.767500000000002
85,MovingAverageCrossOver,CZR,2010-01-01/2023-01-01,0.3,S&P 500,29.368750000000002,48.51625
86,MovingAverageCrossOver,CPT,2010-01-01/2023-01-01,0.3,S&P 500,5.2299999999999995,10.53
87,MovingAverageCrossOver,CPB,2010-01-01/2023-01-01,0.3,S&P 500,4.476666666666667,3.6024999999999996
88,MovingAverageCrossOver,COF,2010-01-01/2023-01-01,0.3,XLF,3.7916666666666674,12.357500000000002
89,MovingAverageCrossOver,CAH,2010-01-01/2023-01-01,0.3,S&P 500,2.3558333333333326,6.630833333333334
90,MovingAverageCrossOver,KMX,2010-01-01/2023-01-01,0.3,S&P 500,1.629166666666667,13.613333333333332
91,MovingAverageCrossOver,CCL,2010-01-01/2023-01-01,0.3,S&P 500,-1.4425,-4.105
92,MovingAverageCrossOver,CARR,2010-01-01/2023-01-01,0.3,S&P 500,37.72,31.904999999999998
93,MovingAverageCrossOver,CTLT,2010-01-01/2023-01-01,0.3,S&P 500,10.39125,21.033749999999998
94,MovingAverageCrossOver,CAT,2010-01-01/2023-01-01,0.3,XLI,4.988333333333333,11.714999999999998
95,MovingAverageCrossOver,CBOE,2010-01-01/2023-01-01,0.3,S&P 500,8.612499999999999,15.296666666666667
96,MovingAverageCrossOver,CBRE,2010-01-01/2023-01-01,0.3,XLRE,9.741666666666665,16.976666666666667
97,MovingAverageCrossOver,CDW,2010-01-01/2023-01-01,0.3,S&P 500,9.608888888888892,26.76111111111111
98,MovingAverageCrossOver,CE,2010-01-01/2023-01-01,0.3,S&P 500,4.565,13.925833333333332
99,MovingAverageCrossOver,CNC,2010-01-01/2023-01-01,0.3,S&P 500,13.034166666666666,27.50583333333333
100,MovingAverageCrossOver,CNP,2010-01-01/2023-01-01,0.3,S&P 500,8.006666666666666,7.5125
101,MovingAverageCrossOver,CDAY,2010-01-01/2023-01-01,0.3,S&P 500,7.860000000000001,20.935
102,MovingAverageCrossOver,CF,2010-01-01/2023-01-01,0.3,XLB,12.8125,20.348333333333333
103,MovingAverageCrossOver,CRL,2010-01-01/2023-01-01,0.3,S&P 500,11.938333333333334,20.726666666666663
104,MovingAverageCrossOver,SCHW,2010-01-01/2023-01-01,0.3,XLF,9.254166666666666,16.904166666666665
105,MovingAverageCrossOver,CHTR,2010-01-01/2023-01-01,0.3,XLC,23.2775,27.123333333333335
106,MovingAverageCrossOver,CVX,2010-01-01/2023-01-01,0.3,XLE,3.858333333333333,7.8825
107,MovingAverageCrossOver,CMG,2010-01-01/2023-01-01,0.3,XLY,21.920833333333334,26.033333333333335
108,MovingAverageCrossOver,CB,2010-01-01/2023-01-01,0.3,XLF,7.882500000000001,12.129166666666668
109,MovingAverageCrossOver,CHD,2010-01-01/2023-01-01,0.3,XLP,8.455,15.483333333333333
110,MovingAverageCrossOver,CI,2010-01-01/2023-01-01,0.3,XLV,11.320833333333335,20.128333333333334
111,MovingAverageCrossOver,CINF,2010-01-01/2023-01-01,0.3,S&P 500,9.824166666666668,13.524166666666666
112,MovingAverageCrossOver,CTAS,2010-01-01/2023-01-01,0.3,S&P 500,16.749999999999996,25.7925
113,MovingAverageCrossOver,CSCO,2010-01-01/2023-01-01,0.3,XLK,3.3350000000000004,7.655833333333334
114,MovingAverageCrossOver,C,2010-01-01/2023-01-01,0.3,XLF,1.1416666666666664,4.52
115,MovingAverageCrossOver,CFG,2010-01-01/2023-01-01,0.3,S&P 500,1.4512500000000008,10.521250000000002
116,MovingAverageCrossOver,CLX,2010-01-01/2023-01-01,0.3,XLP,3.1391666666666667,7.889999999999998
117,MovingAverageCrossOver,CME,2010-01-01/2023-01-01,0.3,XLF,4.894166666666666,11.70083333333333
118,MovingAverageCrossOver,CMS,2010-01-01/2023-01-01,0.3,XLU,6.4816666666666665,12.313333333333334
119,MovingAverageCrossOver,KO,2010-01-01/2023-01-01,0.3,XLP,2.5733333333333337,6.866666666666667
120,MovingAverageCrossOver,CTSH,2010-01-01/2023-01-01,0.3,XLK,2.5058333333333334,9.16
121,MovingAverageCrossOver,CL,2010-01-01/2023-01-01,0.3,XLP,0.5833333333333335,5.939166666666666
122,MovingAverageCrossOver,CMCSA,2010-01-01/2023-01-01,0.3,XLC,9.205833333333334,14.63
123,MovingAverageCrossOver,CMA,2010-01-01/2023-01-01,0.3,S&P 500,11.543333333333335,10.785833333333334
124,MovingAverageCrossOver,CAG,2010-01-01/2023-01-01,0.3,XLP,1.409166666666666,6.454166666666667
125,MovingAverageCrossOver,COP,2010-01-01/2023-01-01,0.3,XLE,8.734166666666667,11.910000000000002
126,MovingAverageCrossOver,ED,2010-01-01/2023-01-01,0.3,XLU,0.8033333333333333,6.404166666666666
127,MovingAverageCrossOver,STZ,2010-01-01/2023-01-01,0.3,XLP,18.995833333333334,27.177499999999995
128,MovingAverageCrossOver,CEG,2010-01-01/2023-01-01,0.3,S&P 500,,
129,MovingAverageCrossOver,COO,2010-01-01/2023-01-01,0.3,S&P 500,14.9775,20.460833333333333
